x1,y1,sigma1,x2,y2,sigma2
1728.06994629,41.0317993164,21.1576004028,1728.06994629,41.0317993164,21.1576004028
1823.44995117,40.6482009888,20.591999054,1823.44995117,40.6482009888,20.591999054
247.774002075,42.375,2.06136989594,247.774002075,42.375,2.06136989594
254.436004639,41.7988014221,2.36011004448,254.436004639,41.7988014221,2.36011004448
415.395996094,41.8779983521,21.264799118,415.395996094,41.8779983521,21.264799118
1338.18994141,41.9676017761,2.62504005432,1338.18994141,41.9676017761,2.62504005432
1635.52001953,41.7425994873,21.3041000366,1635.52001953,41.7425994873,21.3041000366
1923.11999512,42.0718994141,20.6473999023,1923.11999512,42.0718994141,20.6473999023
238.524993896,43.3857002258,2.04853010178,238.524993896,43.3857002258,2.04853010178
326.861999512,44.4152984619,5.12692022324,326.861999512,44.4152984619,5.12692022324
1324.55004883,43.2085990906,65.0690002441,1324.55004883,43.2085990906,65.0690002441
1427.77001953,42.8554992676,2.68327999115,1427.77001953,42.8554992676,2.68327999115
1434.98999023,43.1780014038,5.24881982803,1434.98999023,43.1780014038,5.24881982803
1477.82995605,43.2452011108,2.8487598896,1477.82995605,43.2452011108,2.8487598896
1162.35998535,44.2239990234,21.4848995209,1162.35998535,44.2239990234,21.4848995209
1301.55004883,43.6172981262,10.6400003433,1301.55004883,43.6172981262,10.6400003433
1911.69995117,44.4464988708,20.9409008026,1911.69995117,44.4464988708,20.9409008026
1265.73999023,44.657699585,20.8127002716,1265.73999023,44.657699585,20.8127002716
1352.45996094,44.5850982666,2.64600992203,1352.45996094,44.5850982666,2.64600992203
1382.42004395,45.8517990112,2.02278995514,1382.42004395,45.8517990112,2.02278995514
1395.15002441,45.8283996582,2.74784994125,1395.15002441,45.8283996582,2.74784994125
208.692993164,46.6329994202,10.2833003998,208.692993164,46.6329994202,10.2833003998
390.994995117,46.8838005066,2.58171010017,390.994995117,46.8838005066,2.58171010017
1401.80004883,45.9612998962,2.7236199379,1401.80004883,45.9612998962,2.7236199379
1479.81994629,47.3922996521,32.2739982605,1479.81994629,47.3922996521,32.2739982605
227.708999634,48.1464996338,2.05485010147,227.708999634,48.1464996338,2.05485010147
264.286010742,48.4132003784,2.55972003937,264.286010742,48.4132003784,2.55972003937
1328.13000488,47.947101593,2.66749000549,1328.13000488,47.947101593,2.66749000549
1390.34997559,50.2570991516,5.09759998322,1390.34997559,50.2570991516,5.09759998322
1412.06994629,47.7802009583,2.68841004372,1412.06994629,47.7802009583,2.68841004372
1431.44995117,48.7897987366,2.03939008713,1431.44995117,48.7897987366,2.03939008713
1439.83996582,48.2873001099,10.0581998825,1439.83996582,48.2873001099,10.0581998825
235.0,49.8538017273,2.03764009476,235.0,49.8538017273,2.03764009476
730.989990234,49.1944007874,32.4828987122,730.989990234,49.1944007874,32.4828987122
1299.79003906,48.2192001343,2.88481998444,1299.79003906,48.2192001343,2.88481998444
1323.45996094,49.4384994507,16.3775005341,1323.45996094,49.4384994507,16.3775005341
1342.70996094,48.5845985413,2.51533007622,1342.70996094,48.5845985413,2.51533007622
1347.91003418,50.1468009949,2.07838010788,1347.91003418,50.1468009949,2.07838010788
1375.51000977,47.8433990479,2.52183008194,1375.51000977,47.8433990479,2.52183008194
1398.69995117,47.6890983582,2.7709300518,1398.69995117,47.6890983582,2.7709300518
1917.66003418,49.0357017517,21.4076004028,1917.66003418,49.0357017517,21.4076004028
288.419006348,50.4822998047,3.86177992821,288.419006348,50.4822998047,3.86177992821
1279.39001465,50.2565994263,10.0429000854,1279.39001465,50.2565994263,10.0429000854
1424.63000488,49.8485984802,2.03841996193,1424.63000488,49.8485984802,2.03841996193
1450.61999512,50.2952003479,5.2330698967,1450.61999512,50.2952003479,5.2330698967
250.238998413,50.7770004272,2.26482009888,250.238998413,50.7770004272,2.26482009888
1306.59997559,51.1226005554,31.9722995758,1306.59997559,51.1226005554,31.9722995758
1336.25,53.2275009155,2.01203989983,1336.25,53.2275009155,2.01203989983
1381.01000977,51.3885993958,2.63543009758,1381.01000977,51.3885993958,2.63543009758
1474.34997559,50.6811981201,8.0040397644,1474.34997559,50.6811981201,8.0040397644
1502.05004883,51.4700012207,32.7293014526,1502.05004883,51.4700012207,32.7293014526
265.114990234,51.7309989929,3.89017009735,265.114990234,51.7309989929,3.89017009735
274.493011475,52.4989013672,2.21442008018,274.493011475,52.4989013672,2.21442008018
1327.18994141,52.2518005371,2.40089988708,1327.18994141,52.2518005371,2.40089988708
1354.90002441,53.1125984192,2.34042000771,1354.90002441,53.1125984192,2.34042000771
1366.68994141,51.0904006958,2.50582003593,1366.68994141,51.0904006958,2.50582003593
293.187988281,53.2456016541,2.64372992516,293.187988281,53.2456016541,2.64372992516
527.369018555,52.9309997559,5.50922012329,527.369018555,52.9309997559,5.50922012329
1260.88000488,52.5690002441,8.30867004395,1260.88000488,52.5690002441,8.30867004395
1407.2800293,52.8911018372,1.9698599577,1407.2800293,52.8911018372,1.9698599577
258.493988037,53.6226997375,2.33998990059,258.493988037,53.6226997375,2.33998990059
1415.08996582,53.3712005615,2.01268005371,1415.08996582,53.3712005615,2.01268005371
279.360992432,54.5024986267,2.56246995926,279.360992432,54.5024986267,2.56246995926
1453.83996582,53.0806999207,5.34127998352,1453.83996582,53.0806999207,5.34127998352
1467.82995605,55.2671012878,2.8299100399,1467.82995605,55.2671012878,2.8299100399
1475.98999023,52.3730010986,8.31054019928,1475.98999023,52.3730010986,8.31054019928
1324.11999512,55.8132019043,5.16679000854,1324.11999512,55.8132019043,5.16679000854
1356.44995117,56.1646003723,3.95812988281,1356.44995117,56.1646003723,3.95812988281
1360.0300293,55.7347984314,2.67087006569,1360.0300293,55.7347984314,2.67087006569
1372.25,56.1528015137,2.67915010452,1372.25,56.1528015137,2.67915010452
1483.90002441,56.4934005737,10.2835998535,1483.90002441,56.4934005737,10.2835998535
207.402999878,57.0783004761,9.69927024841,207.402999878,57.0783004761,9.69927024841
268.412994385,56.6096992493,2.23207998276,268.412994385,56.6096992493,2.23207998276
392.192993164,57.979598999,2.60742998123,392.192993164,57.979598999,2.60742998123
1397.43994141,57.1394996643,2.58205008507,1397.43994141,57.1394996643,2.58205008507
1423.18994141,56.9029998779,2.73416996002,1423.18994141,56.9029998779,2.73416996002
1728.17004395,57.0210990906,21.1807994843,1728.17004395,57.0210990906,21.1807994843
606.708984375,58.1332015991,5.31212997437,606.708984375,58.1332015991,5.31212997437
1429.33996582,57.8470993042,5.70657014847,1429.33996582,57.8470993042,5.70657014847
1451.43994141,58.432800293,10.3680000305,1451.43994141,58.432800293,10.3680000305
284.92401123,58.6125984192,4.01205015182,284.92401123,58.6125984192,4.01205015182
303.069000244,59.6409988403,2.10578989983,303.069000244,59.6409988403,2.10578989983
601.817016602,58.8319015503,5.24239015579,601.817016602,58.8319015503,5.24239015579
1367.31005859,59.6936988831,2.64631009102,1367.31005859,59.6936988831,2.64631009102
1382.14001465,60.2127990723,2.44029998779,1382.14001465,60.2127990723,2.44029998779
1426.69995117,59.1021995544,5.82434988022,1426.69995117,59.1021995544,5.82434988022
1441.44995117,60.4197998047,2.72415995598,1441.44995117,60.4197998047,2.72415995598
1445.63000488,58.5102005005,2.54823994637,1445.63000488,58.5102005005,2.54823994637
1470.68005371,59.0088996887,2.0903699398,1470.68005371,59.0088996887,2.0903699398
218.718002319,60.4860992432,2.39969992638,218.718002319,60.4860992432,2.39969992638
403.434997559,58.7089996338,4.77883005142,403.434997559,58.7089996338,4.77883005142
1377.81005859,61.5055007935,2.48275995255,1377.81005859,61.5055007935,2.48275995255
1401.57995605,62.9915008545,2.1324300766,1401.57995605,62.9915008545,2.1324300766
1461.64001465,57.5045013428,2.74412989616,1461.64001465,57.5045013428,2.74412989616
1486.64001465,60.2364006042,4.0540599823,1486.64001465,60.2364006042,4.0540599823
1494.72998047,60.2191009521,8.0212097168,1494.72998047,60.2191009521,8.0212097168
1546.69995117,59.7835998535,5.66138982773,1546.69995117,59.7835998535,5.66138982773
280.515991211,61.3338012695,2.03676009178,280.515991211,61.3338012695,2.03676009178
1102.84997559,60.9586982727,41.2681999207,1102.84997559,60.9586982727,41.2681999207
1356.26000977,60.8456001282,2.03122997284,1356.26000977,60.8456001282,2.03122997284
261.467010498,61.2318000793,2.05312991142,261.467010498,61.2318000793,2.05312991142
309.044006348,63.9664993286,2.64145994186,309.044006348,63.9664993286,2.64145994186
538.770019531,62.082901001,5.24477005005,538.770019531,62.082901001,5.24477005005
591.051025391,61.7767982483,5.05530023575,591.051025391,61.7767982483,5.05530023575
1315.5300293,61.7027015686,32.050201416,1315.5300293,61.7027015686,32.050201416
1326.06994629,60.382598877,5.01762008667,1326.06994629,60.382598877,5.01762008667
1373.09997559,62.6801986694,2.65855002403,1373.09997559,62.6801986694,2.65855002403
1485.22998047,62.7151985168,4.12974023819,1485.22998047,62.7151985168,4.12974023819
1490.56994629,62.1347999573,7.97100019455,1490.56994629,62.1347999573,7.97100019455
1906.20996094,61.8629989624,20.8495998383,1906.20996094,61.8629989624,20.8495998383
233.313995361,63.757900238,2.34930992126,233.313995361,63.757900238,2.34930992126
251.776000977,63.2963981628,5.32356023788,251.776000977,63.2963981628,5.32356023788
316.652008057,62.8293991089,4.07269001007,316.652008057,62.8293991089,4.07269001007
406.539001465,62.9271011353,2.70608997345,406.539001465,62.9271011353,2.70608997345
1337.69995117,63.9585990906,2.71652007103,1337.69995117,63.9585990906,2.71652007103
